stars,forks,commits,name
00069,00018,0000684,"tlovett1/custom-contact-forms"
00069,00018,0000430,"spark/spark-cli"
00069,00018,0000229,"uxrecipe/uxrecipe.github.io"
00069,00018,0000084,"heavenshell/vim-jsdoc"
00069,00018,0000067,"ivolo/disposable-email-domains"
00069,00018,0000036,"azu/NSDate-Escort"
00069,00018,0000000,"sytelus/CryptoJS"
00069,00017,0000729,"quailjs/quail"
00069,00017,0000389,"drinkcat/chroagh"
00069,00017,0000388,"UprootLabs/gngr"
00069,00017,0000082,"torakiki/pdfsam"
00069,00017,0000046,"fcitx/fcitx"
00069,00017,0000036,"Lepozepo/S3"
00069,00017,0000016,"hhatto/nude.py"
00069,00017,0000002,"azat-co/mongoui"
00069,00017,0000000,"mattt/Navajo"
00069,00016,0000289,"rakutentech/terraform-provider-vsphere"
00069,00016,0000161,"go-swagger/go-swagger"
00069,00016,0000086,"fkling/esprima_ast_explorer"
00069,00016,0000036,"issue9/identicon"
00069,00016,0000028,"sandeepmistry/node-bleacon"
00069,00016,0000024,"justmoon/node-bignum"
00069,00016,0000001,"bunkat/schedule"
00069,00016,0000000,"alexzielenski/Mousecape"
00069,00015,0001709,"dart-lang/dart-pad"
00069,00015,0000073,"Emotiv/insight_sdk"
00069,00015,0000069,"JamesBarwell/rpi-gpio.js"
00069,00015,0000052,"chriszarate/supergenpass"
00069,00015,0000032,"tushariscoolster/ng-sweet-alert"
00069,00015,0000031,"keijiro/Reaktion"
00069,00015,0000025,"detailyang/cheat-sheets"
00069,00015,0000023,"rasbt/pyprind"
00069,00015,0000003,"facebook/SCRNNs"
00069,00015,0000000,"akosma/nib2objc"
00069,00015,0000000,"lobianco/ALMoviePlayerController"
00069,00015,0000000,"gokercebeci/canvasResize"
00069,00015,0000000,"daria-kopaliani/DAPagesContainer"
00069,00014,0000213,"ChilliWorks/ChilliSource"
00069,00014,0000047,"jillix/jQuery-sidebar"
00069,00014,0000044,"raindropio/extensions"
00069,00014,0000040,"AngularAgility/AngularAgility"
00069,00014,0000027,"gianlucaborello/aws-ssh-config"
00069,00014,0000016,"extrabacon/python-shell"
00069,00014,0000007,"AlexSergey/rocket"
00069,00014,0000000,"luisobo/Xcode-RuntimeHeaders"
00069,00013,0001043,"uwdata/vega-lite"
00069,00013,0000501,"google/shipshape"
00069,00013,0000212,"foursquare/twofishes"
00069,00013,0000102,"jcassee/django-analytical"
00069,00013,0000063,"brock/node-reinstall"
00069,00013,0000040,"Codility/cui"
00069,00013,0000034,"freitass/todo.txt-vim"
00069,00013,0000024,"less/less-plugin-autoprefix"
00069,00013,0000016,"juliancwirko/generator-zf5"
00069,00013,0000015,"steshaw/plt-study"
00069,00013,0000008,"targetkiller/gulp-imageisux"
00069,00013,0000008,"mkarneim/pojobuilder"
00069,00013,0000002,"jcmore2/Collage"
00069,00013,0000001,"guilhermearaujo/xboxonecontrollerenabler"
00069,00013,0000000,"sole/tween.js"
00069,00013,0000000,"codrops/ProgressButtonStyles"
00069,00012,0000339,"HubSpot/jinjava"
00069,00012,0000097,"FSX/momoko"
00069,00012,0000023,"mattn/anko"
00069,00012,0000022,"webpartners/WPAndroidPermissions"
00069,00012,0000018,"brettbuddin/victor"
00069,00012,0000006,"fastred/AHKNavigationController"
00069,00012,0000000,"mehfuzh/MHTextField"
00069,00011,0000823,"onepf/OPFPush"
00069,00011,0000287,"sfackler/rust-phf"
00069,00011,0000075,"GrahamCampbell/Laravel-DigitalOcean"
00069,00011,0000063,"rrrene/inch"
00069,00011,0000024,"stiang/koa-jwt"
