stars,forks,commits,name
00057,00010,0000000,"esc/git-big-picture"
00057,00009,0000075,"dotnet/apireviews"
00057,00009,0000053,"non/jawn"
00057,00009,0000047,"Andy-P/RecurrentNN.jl"
00057,00009,0000037,"arsduo/batch_api"
00057,00009,0000033,"bcalik/Whatsapp-Desktop"
00057,00009,0000031,"alicebob/miniredis"
00057,00009,0000030,"virtkick/virtkick-starter"
00057,00009,0000025,"Pent/generator-meteor"
00057,00009,0000022,"JakubOnderka/PHP-Parallel-Lint"
00057,00009,0000011,"drxzcl/neppielight"
00057,00009,0000008,"YasKuraishi/YKMediaPlayerKit"
00057,00009,0000007,"fyhuang/enjoy2"
00057,00009,0000005,"pydanny/django-wysiwyg"
00057,00009,0000005,"edsrzf/mmap-go"
00057,00009,0000005,"BotBotMe/botbot-bot"
00057,00009,0000003,"titoBouzout/Tag"
00057,00009,0000002,"Pomax/Font.js"
00057,00009,0000001,"Form5/parallax"
00057,00009,0000000,"pravj/geopattern"
00057,00009,0000000,"junku901/machine_learning"
00057,00009,0000000,"subjc/SubjectiveCUnreadMenu"
00057,00008,0000107,"Aluxian/electron-superkit"
00057,00008,0000073,"weavejester/lein-ring"
00057,00008,0000042,"laravel-auto-presenter/laravel-auto-presenter"
00057,00008,0000025,"endel/generator-modern-frontend"
00057,00008,0000023,"premasagar/cleanslate"
00057,00008,0000022,"kengz/jarvis"
00057,00008,0000018,"wbcyclist/SKTiledMap"
00057,00008,0000017,"Naturally-Being/G-Rex"
00057,00008,0000010,"kenyee/android-ddp-client"
00057,00008,0000009,"SimonDegraeve/react-class-helper"
00057,00008,0000007,"teddziuba/django-sslserver"
00057,00008,0000005,"guns/vim-clojure-static"
00057,00008,0000002,"zdne/spacegray-xcode"
00057,00008,0000000,"scalanlp/chalk"
00057,00008,0000000,"bradrydzewski/go.auth"
00057,00008,0000000,"yujinakayama/NAKPlaybackIndicatorView"
00057,00008,0000000,"ruhoh/ruhoh.rb"
00057,00007,0000958,"amaembo/streamex"
00057,00007,0000407,"GaloisInc/ivory"
00057,00007,0000181,"tideland/golib"
00057,00007,0000155,"thesp0nge/dawnscanner"
00057,00007,0000139,"Syncplay/syncplay"
00057,00007,0000125,"t-d-k/doxbox"
00057,00007,0000093,"jamesmartin/inline_svg"
00057,00007,0000082,"jshttp/mime-types"
00057,00007,0000072,"T-002/pycast"
00057,00007,0000051,"cryptosphere/rbnacl"
00057,00007,0000051,"a-student/BetterVectorDrawable"
00057,00007,0000023,"dwyl/learn-json-web-tokens"
00057,00007,0000021,"kriasoft/react-decorators"
00057,00007,0000017,"kristinathai/WatchOS2WatchConnectivityDemos"
00057,00007,0000009,"dextorer/Sofa"
00057,00007,0000008,"NitinJami/keychaineditor"
00057,00007,0000007,"molon/MLPresentController"
00057,00007,0000006,"SuperDami/react-native-custom-navigation"
00057,00007,0000003,"mre/receipt-parser"
00057,00007,0000003,"hunterloftis/throng"
00057,00007,0000002,"zhemao/glisp"
00057,00007,0000000,"mbrevoort/node-reggie"
00057,00007,0000000,"aarondo/progression.js"
00057,00007,0000000,"LevelbossMike/vim_shortcut_wallpaper"
00057,00007,0000000,"haikieu/iOS-Video-Player"
00057,00006,0000437,"ktsaou/firehol"
00057,00006,0000262,"jxnblk/rebass"
00057,00006,0000171,"zorgiepoo/Bit-Slicer"
00057,00006,0000112,"TinyMapper/TinyMapper"
00057,00006,0000080,"thoppe/transorthogonal-linguistics"
00057,00006,0000046,"simurai/duotone-dark-syntax"
00057,00006,0000032,"alessandro-zomparelli/tissue"
00057,00006,0000019,"rafeca/prettyjson"
00057,00006,0000018,"alucic/react-native-cheat-sheet"
00057,00006,0000014,"KyleU/boilerplay"
00057,00006,0000005,"nuuneoi/AdjustableImageView"
00057,00006,0000003,"markmontymark/patterns"
00057,00006,0000002,"Salakar/angular-toasty"
00057,00006,0000002,"panique/php-sass"
00057,00006,0000000,"matteogobbi/MGFashionMenuView"
00057,00006,0000000,"mattt/CupertinoYankee"
00057,00005,0000531,"trueadm/inferno"
00057,00005,0000160,"reconquest/shadowd"
00057,00005,0000146,"peter-murach/finite_machine"
00057,00005,0000103,"floledermann/mapmap.js"
00057,00005,0000074,"nephila/django-meta"
00057,00005,0000038,"dominictarr/pull-box-stream"
00057,00005,0000032,"sass-compatibility/sass-compatibility.github.io"
00057,00005,0000028,"koush/vysor.io"
00057,00005,0000028,"ckkashyap/rustix"
00057,00005,0000027,"skeeto/opengl-demo"
00057,00005,0000025,"ehazlett/conduit"
00057,00005,0000021,"Loveice/PFAD"
00057,00005,0000020,"zeke/package-json-to-readme"
00057,00005,0000012,"joeshaw/gengen"
00057,00005,0000009,"christianalfoni/webpack-example"
00057,00005,0000005,"chameco/Solid"
00057,00005,0000002,"pi3r0/PHFParallaxBackgroundCell"
00057,00005,0000001,"robrix/RXCollections"
00057,00004,0000231,"unicredit/akka.js"
00057,00004,0000107,"aquametalabs/aquameta"
00057,00004,0000037,"Raizlabs/RZViewActions"
00057,00004,0000033,"Lupino/hole"
00057,00004,0000029,"spmbt/jsConsoleApiReference"
00057,00004,0000024,"farseer90718/vim-taskwarrior"
00057,00004,0000022,"jxnblk/react-icons"
00057,00004,0000005,"rob-brown/MonadEx"
00057,00004,0000005,"kazuho/picoev"
00057,00004,0000002,"FileShuttle/fileshuttle"
00057,00004,0000000,"rakyll/globalconf"
00057,00004,0000000,"pixi-stix/sketch-mobile-assets"
00057,00004,0000000,"Spooner/releasy"
00057,00003,0000199,"hackhat/smart-css"
00057,00003,0000128,"hail2u/node-css-mqpacker"
00057,00003,0000101,"pieces029/android-spock"
00057,00003,0000074,"ahmadassaf/booklight"
00057,00003,0000050,"pderichs/sublime_rubocop"
00057,00003,0000029,"rharter/auto-value-moshi"
00057,00003,0000028,"onejs/onejs"
00057,00003,0000020,"jlevy/repren"
00057,00003,0000013,"google/hesokuri"
00057,00003,0000011,"laktak/any-json"
00057,00003,0000009,"prechelt/typecheck-decorator"
00057,00003,0000003,"ajtulloch/sklearn-compiledtrees"
00057,00003,0000000,"es5/es5.github.com"
00057,00003,0000000,"tholman/unicoder.js"
00057,00003,0000000,"matthewwithanm/monorouter"
00057,00002,0000274,"jonikorpi/jonikorpi-v9"
00057,00002,0000116,"pemrouz/ripple"
00057,00002,0000032,"raymontag/rust-keepass"
00057,00002,0000027,"cosminadrianpopescu/vim-sql-workbench"
00057,00002,0000020,"renstrom/go-jump-consistent-hash"
00057,00002,0000017,"mattn/mkup"
00057,00002,0000016,"jonhoo/streamsh"
00057,00002,0000010,"iand675/haskell-checklist"
00057,00002,0000009,"rhysd/committia.vim"
00057,00002,0000006,"passy/build-time-tracker-plugin"
00057,00002,0000003,"knowbody/react-redux-boilerplate"
00057,00002,0000002,"dtinth/ttycast"
00057,00002,0000002,"pgrest/pgrest"
00057,00002,0000002,"getflourish/Sketch-Color-Contrast-Analyser"
00057,00001,0000108,"jjlee/git-meld-index"
00057,00001,0000064,"JonahBraun/wago"
00057,00001,0000059,"omphalos/thermite"
00057,00001,0000030,"nicolaslopezj/roles"
00057,00001,0000022,"javierbyte/react-textgradient"
00057,00001,0000015,"BoomTownROI/boomsvgloader"
00057,00001,0000003,"supertop/grid-window"
00057,00001,0000002,"kickstarter/cfn-flow"
00057,00000,0000200,"rheinfabrik/Dobby"
00057,00000,0000097,"codahale/sketchy"
00057,00000,0000090,"Spark-Innovations/SC4"
00057,00000,0000039,"igorkasyanchuk/any_login"
00057,00000,0000012,"fanatid/error-system"
00057,00000,0000011,"ttscoff/mdless"
00057,00000,0000010,"tihirvon/dex"
00057,00000,0000008,"sebcat/store"
00056,00242,0000000,"rfoxfa/R_Programming"
00056,00197,0000554,"CyanogenMod/android_kernel_oneplus_msm8974"
00056,00160,0000014,"spring-projects/spring-social-samples"
00056,00115,0000418,"kaganus/cgb-modded"
00056,00103,0000270,"inoerp/inoERP"
00056,00095,0000017,"jmportilla/Udemy-notes"
00056,00090,0000258,"cakephp/debug_kit"
00056,00086,0000000,"wchaowu/nodejs"
00056,00082,0000187,"ArchiDroid/android_device_samsung_i9300"
00056,00082,0000022,"simpulton/noterious"
00056,00082,0000018,"emilybache/GildedRose-Refactoring-Kata"
00056,00082,0000000,"minixalpha/minixalpha.github.io"
00056,00081,0001277,"openstack/ceilometer"
00056,00079,0000000,"zhangkaitao/spring4-showcase"
00056,00072,0000035,"xiaolu/mkbootimg_tools"
00056,00071,0000319,"playframework/play1"
00056,00070,0000200,"robashton/crowdsourcedhomepage"
00056,00068,0001756,"opendaylight/controller"
00056,00068,0000001,"oreillymedia/doing_data_science"
00056,00066,0000002,"xautlx/s2jh"
00056,00063,0000000,"wehrley/wehrley.github.io"
00056,00062,0000031,"kevinsawicki/monokai"
00056,00061,0000027,"slidenerd/Material-Design-Test-App"
00056,00059,0000024,"caelum/caelum-stella"
00056,00058,0000913,"atom/settings-view"
00056,00057,0000334,"openstack/python-novaclient"
00056,00056,0000474,"nest/nest-simulator"
00056,00056,0000049,"geerlingguy/ansible-role-mysql"
00056,00051,0000024,"django/django-contrib-comments"
00056,00051,0000000,"plhwin/nodejs-socketio-chat"
00056,00050,0000682,"apache/poi"
00056,00049,0000023,"happypeter/sublime-config"
00056,00049,0000013,"adafruit/Adafruit_Sensor"
00056,00048,0000025,"mages/googleVis"
00056,00047,0000075,"jekyll/jekyll-import"
00056,00047,0000016,"parallel-forall/code-samples"
00056,00046,0000436,"mirror/dd-wrt"
00056,00046,0000111,"gitlabhq/gitlab-shell"
00056,00046,0000076,"mbppower/CordovaCameraPreview"
00056,00045,0000242,"00-Evan/shattered-pixel-dungeon"
00056,00045,0000029,"pseudonym117/Riot-Watcher"
00056,00045,0000000,"enokd/docker-node-hello"
00056,00045,0000000,"caffeinehit/django-oauth2-provider"
00056,00044,0000507,"aspnet/Configuration"
00056,00044,0000223,"elasticsearch/elasticsearch-net"
00056,00044,0000039,"saki4510t/UVCCamera"
00056,00044,0000000,"ZhouWeikuan/cocos2d"
00056,00043,0000090,"twilio/OpenVBX"
